"price","year","manufacturer","condition","fuel","odometer","title_status","transmission","drive","state","lat","long"
"Diff",2013,"A","good","electric",69961,"ok","automatic","rwd","al",33.669601,-86.817617
"Easy",2010,"C","excellent","hybrid",180000,"ok","automatic","4wd","al",30.4007,-87.6857
"Easy",2014,"C","good","gas",77180,"ok","automatic","fwd","al",30.668786,-88.105874
"Easy",2018,"C","like new","gas",32519,"ok","automatic","fwd","al",30.608092,-87.898401
"Diff",2017,"C","good","gas",65120,"ok","automatic","4wd","al",30.668786,-88.105874
"Easy",2010,"C","good","gas",175375,"ok","automatic","4wd","al",30.471431,-87.803593
"Easy",2000,"C","excellent","gas",229947,"ok","automatic","rwd","al",30.8516,-88.0533
"Diff",2015,"C","good","gas",75754,"ok","automatic","4wd","al",30.668786,-88.105874
"Easy",2014,"C","excellent","gas",169000,"ok","automatic","rwd","al",30.7322,-88.1758
"Easy",2014,"C","good","gas",122134,"ok","automatic","fwd","al",42.196156,-88.31056
"Easy",2000,"C","excellent","gas",168120,"ok","automatic","fwd","al",30.420079,-87.854404
"Diff",2016,"C","good","gas",88113,"ok","automatic","rwd","al",30.668786,-88.105874
"Easy",2014,"C","good","diesel",236000,"ok","automatic","fwd","al",30.6959,-87.8867
"Easy",2009,"C","excellent","gas",109455,"ok","automatic","fwd","al",30.667215,-88.126665
"Easy",2008,"C","excellent","gas",95000,"ok","automatic","4wd","al",30.676036,-88.136806
"Diff",2013,"B","good","diesel",87085,"ok","automatic","4wd","al",30.668786,-88.105874
"Easy",2016,"C","like new","gas",103794,"ok","automatic","fwd","al",30.668903,-88.126672
"Easy",2004,"B","good","gas",230000,"ok","automatic","rwd","al",30.520244,-89.647288
"Easy",2010,"C","good","gas",112206,"ok","automatic","rwd","al",32.3129,-86.2421
"Diff",2018,"C","good","gas",17553,"ok","other","fwd","al",32.35,-86.28
"Easy",2012,"C","good","gas",161006,"ok","automatic","rwd","al",32.466478,-86.4526
"Easy",2013,"C","good","gas",137218,"ok","automatic","rwd","al",32.466587,-86.452493
"Easy",2005,"C","good","gas",190065,"ok","automatic","4wd","al",32.466641,-86.452815
"Diff",2019,"C","good","gas",9912,"ok","automatic","4wd","al",31.316064,-89.437114
"Easy",2013,"C","excellent","gas",161425,"ok","automatic","fwd","al",31.796941,-85.980049
"Diff",2020,"C","excellent","gas",2196,"ok","automatic","fwd","al",31.796941,-85.980049
"Easy",2013,"D","good","gas",135273,"ok","automatic","fwd","al",32.466641,-86.453287
"Easy",2010,"C","excellent","gas",90000,"ok","automatic","fwd","al",33.1767,-87.3871
"Diff",2006,"C","excellent","diesel",112939,"ok","automatic","4wd","ak",61.16167,-149.86312
"Easy",2009,"D","like new","gas",87000,"ok","automatic","rwd","ak",61.2037,-149.7447
"Easy",2013,"C","excellent","gas",106228,"ok","automatic","4wd","ak",61.155164,-149.891716
"Easy",2014,"C","excellent","gas",105212,"ok","automatic","rwd","ak",61.167676,-149.869394
"Easy",2008,"C","good","gas",139000,"ok","automatic","4wd","ak",61.5923,-149.3959
"Easy",2008,"D","excellent","gas",159300,"ok","automatic","fwd","ak",61.1194,-149.8974
"Diff",2020,"B","good","gas",17007,"ok","automatic","4wd","ak",61.1381,-149.86727
"Easy",2007,"C","good","gas",150793,"ok","other","4wd","ak",61.21722,-149.86996
"Easy",2000,"B","excellent","gas",164000,"ok","manual","4wd","ak",61.2116,-149.8761
"Easy",1966,"C","good","gas",73000,"ok","automatic","rwd","ak",61.133844,-149.836478
"Easy",2010,"C","excellent","gas",116470,"ok","automatic","4wd","ak",61.16167,-149.86312
"Diff",2009,"C","excellent","gas",95957,"ok","automatic","4wd","ak",61.2116,-149.8761
"Easy",2006,"C","excellent","diesel",132012,"ok","automatic","4wd","ak",61.16167,-149.86312
"Diff",2015,"C","good","gas",73353,"ok","automatic","4wd","ak",61.1381,-149.86727
"Easy",2005,"C","good","gas",139921,"ok","automatic","rwd","ak",61.182944,-149.771805
"Easy",2018,"C","good","gas",32495,"ok","automatic","fwd","ak",61.180231,-149.869503
"Easy",2013,"C","excellent","gas",76289,"ok","automatic","4wd","ak",61.217401,-149.864423
"Easy",2013,"C","excellent","gas",94151,"ok","automatic","fwd","ak",61.218328,-149.865983
"Easy",2015,"C","good","gas",58000,"notok","automatic","fwd","ak",61.5923,-149.3959
"Diff",2017,"C","excellent","diesel",13773,"ok","automatic","rwd","ak",61.16167,-149.86312
"Easy",2009,"C","like new","gas",69201,"ok","manual","fwd","ak",61.2116,-149.8761
"Easy",2017,"C","like new","gas",20193,"ok","manual","fwd","ak",61.166252,-149.857916
"Easy",2008,"C","excellent","gas",144347,"ok","automatic","fwd","ak",61.166252,-149.857916
"Easy",2018,"C","good","other",29314,"ok","automatic","fwd","ak",61.2116,-149.8761
"Easy",2005,"C","good","gas",149950,"ok","automatic","4wd","ak",61.5923,-149.3959
"Easy",2015,"C","excellent","gas",101740,"ok","automatic","fwd","ak",61.56939,-149.35645
"Easy",2011,"C","good","gas",46000,"ok","automatic","4wd","ak",61.1535,-149.8289
"Easy",2020,"C","excellent","gas",24503,"ok","automatic","fwd","ak",61.19,-149.8938
"Easy",2012,"C","salvage","other",118183,"ok","automatic","4wd","ak",61.16167,-149.86312
"Diff",2017,"C","good","gas",55000,"ok","automatic","rwd","ak",61.1194,-149.8974
"Easy",2017,"C","excellent","gas",55555,"ok","automatic","fwd","ak",61.218113,-149.865983
"Diff",2018,"C","good","gas",97000,"ok","automatic","4wd","ak",61.218277,-149.832077
"Diff",2020,"C","good","gas",29915,"ok","automatic","4wd","ak",61.572407,-149.375517
"Easy",2012,"C","excellent","gas",24000,"ok","automatic","4wd","ak",61.288605,-148.894406
"Easy",2016,"C","excellent","gas",11742,"ok","automatic","fwd","ak",61.218255,-149.866025
"Diff",2015,"B","excellent","gas",100065,"ok","automatic","4wd","ak",61.218286,-149.865983
"Diff",2017,"C","good","gas",70410,"ok","automatic","4wd","ak",61.5729,-149.38131
"Diff",2016,"C","excellent","gas",24363,"ok","automatic","4wd","ak",61.15819,-149.86614
"Diff",2014,"C","like new","gas",54456,"ok","automatic","4wd","ak",61.166252,-149.857916
"Easy",2014,"C","good","other",63189,"ok","automatic","fwd","ak",61.16167,-149.86312
"Diff",2018,"C","excellent","gas",25776,"ok","other","4wd","ak",61.176984,-149.86941
"Easy",2016,"C","excellent","gas",205240,"ok","manual","fwd","ak",61.1054,-149.78
"Easy",2002,"C","excellent","gas",149000,"ok","automatic","4wd","ak",61.6303,-148.9872
"Easy",2008,"C","like new","gas",146003,"ok","automatic","4wd","ak",61.166252,-149.857916
"Diff",2017,"C","excellent","gas",34551,"ok","automatic","4wd","ak",61.176984,-149.86941
"Easy",2005,"B","excellent","diesel",187818,"ok","automatic","4wd","ak",61.166252,-149.857916
"Easy",2012,"D","excellent","gas",85966,"ok","automatic","fwd","ak",61.217401,-149.864423
"Diff",2009,"C","excellent","gas",78260,"ok","automatic","4wd","ak",61.217401,-149.864423
"Easy",2014,"D","good","other",65070,"ok","automatic","fwd","ak",61.16167,-149.86312
"Easy",2017,"C","excellent","gas",69699,"ok","automatic","fwd","ak",61.21722,-149.86996
"Diff",2013,"C","excellent","gas",98690,"ok","automatic","4wd","ak",61.218175,-149.865961
"Easy",1991,"C","excellent","gas",181256,"ok","manual","fwd","ak",61.16167,-149.86312
"Diff",2020,"C","good","gas",2410,"ok","automatic","4wd","ak",61.572407,-149.375517
"Easy",2012,"C","excellent","other",147904,"ok","automatic","4wd","ak",61.16167,-149.86312
"Diff",2013,"C","excellent","other",58093,"ok","automatic","4wd","ak",61.16167,-149.86312
"Easy",2016,"C","good","hybrid",58730,"ok","automatic","fwd","ak",61.129557,-149.864266
"Diff",2020,"C","good","gas",1354,"ok","automatic","4wd","ak",61.1381,-149.86727
"Easy",2007,"C","excellent","diesel",140000,"ok","automatic","4wd","ak",64.8378,-147.7164
"Diff",2017,"C","excellent","gas",39530,"ok","automatic","4wd","ak",64.81552,-147.71293
"Easy",2011,"C","like new","gas",82366,"ok","automatic","rwd","ak",61.2116,-149.8761
"Easy",2014,"C","excellent","gas",54973,"ok","manual","fwd","ak",64.81552,-147.71293
"Easy",2013,"C","good","gas",101930,"ok","automatic","4wd","ak",61.2116,-149.8761
"Easy",2019,"C","good","gas",35208,"ok","automatic","fwd","ak",64.81552,-147.71293
"Easy",2015,"C","salvage","gas",30678,"ok","automatic","4wd","ak",61.2116,-149.8761
"Easy",2004,"C","excellent","diesel",93529,"ok","automatic","4wd","ak",61.2116,-149.8761
"Easy",2012,"C","good","gas",114076,"ok","automatic","fwd","ak",61.19,-149.8938
"Diff",2015,"C","salvage","gas",59825,"ok","automatic","4wd","ak",64.81552,-147.71293
"Easy",2017,"C","good","gas",50808,"ok","automatic","fwd","ak",64.822837,-147.713863
"Diff",2019,"C","like new","gas",13046,"ok","automatic","4wd","ak",64.81552,-147.71293
"Easy",2009,"B","like new","gas",128690,"ok","automatic","4wd","ak",64.81552,-147.71293
"Easy",2018,"C","excellent","other",29314,"ok","automatic","fwd","ak",61.2116,-149.8761
"Easy",2015,"C","good","gas",30678,"ok","automatic","fwd","ak",61.2116,-149.8761
"Easy",2012,"C","fair","gas",73594,"ok","manual","4wd","ak",61.2116,-149.8761
"Easy",2016,"C","excellent","gas",48667,"ok","automatic","fwd","ak",61.2116,-149.8761
"Diff",2017,"C","good","gas",68643,"ok","automatic","4wd","ak",64.81552,-147.71293
"Diff",2015,"B","good","gas",92279,"ok","automatic","4wd","ak",64.81552,-147.71293
"Diff",2017,"C","good","gas",60209,"ok","automatic","4wd","ak",61.1381,-149.86727
"Easy",2003,"C","like new","gas",72000,"ok","automatic","fwd","ak",60.499394,-150.990719
"Diff",2018,"B","fair","gas",20595,"ok","automatic","4wd","ak",61.1381,-149.86727
"Easy",2005,"C","excellent","gas",88000,"ok","automatic","fwd","ak",60.249334,-150.429037
"Easy",2012,"C","good","gas",98884,"ok","automatic","4wd","ak",61.2116,-149.8761
"Easy",2004,"C","excellent","gas",89999,"ok","automatic","fwd","ak",59.5374,-151.2356
"Diff",2019,"C","like new","gas",20069,"ok","manual","4wd","ak",58.3628,-134.5294
"Easy",2013,"C","good","gas",101930,"ok","automatic","4wd","ak",61.2116,-149.8761
"Diff",2019,"C","like new","electric",7790,"ok","automatic","4wd","ak",58.3628,-134.5294
"Diff",2014,"C","excellent","gas",45687,"ok","automatic","4wd","az",33.396353,-111.954863
"Diff",2019,"B","good","gas",45675,"ok","automatic","fwd","az",33.396353,-111.954863
"Diff",2018,"C","good","gas",29180,"ok","automatic","rwd","az",33.779214,-84.411811
"Diff",2020,"C","like new","gas",17000,"ok","automatic","4wd","az",34.540674,-112.469788
"Diff",2019,"C","good","gas",4040,"ok","automatic","4wd","az",35.189958,-111.666438
